Date,ProductID,Quantity,Price,Quantity_perWeek,Price_Total_perOrder,MonthoftheYear,WeekoftheYear,WeekoftheMonth,DayoftheYear,DayoftheMonth,DayoftheWeek,isWeekend
2022-09-09,4260705920010,1,4.29,-1,4.29,9,36,1,252,9,4,False
2022-09-09,4260705920102,1,6.79,-1,6.79,9,36,1,252,9,4,False
2022-09-09,4260705920119,1,7.99,-1,7.99,9,36,1,252,9,4,False
2022-09-09,4260705920140,1,8.19,-1,8.19,9,36,1,252,9,4,False
2022-09-09,4260705920157,1,7.49,-1,7.49,9,36,1,252,9,4,False
2022-09-09,4260705920294,2,15.99,-2,31.98,9,36,1,252,9,4,False
2022-09-09,4260705920324,1,10.99,-1,10.99,9,36,1,252,9,4,False
2022-09-09,4260705920416,2,5.99,-2,11.98,9,36,1,252,9,4,False
2022-09-10,4260705920324,2,10.99,-3,21.98,9,36,1,253,10,5,True
2022-09-10,4260705920072,1,5.79,-1,5.79,9,36,1,253,10,5,True
2022-09-10,4260705920331,1,8.69,-1,8.69,9,36,1,253,10,5,True
2022-09-10,4260705920409,1,17.49,-1,17.49,9,36,1,253,10,5,True
2022-09-10,4260705920416,1,5.99,-3,5.99,9,36,1,253,10,5,True
2022-09-10,4260705920300,1,15.49,-1,15.49,9,36,1,253,10,5,True
2022-09-10,4260705920317,1,9.99,-1,9.99,9,36,1,253,10,5,True
2022-09-10,4260705920140,1,8.19,-2,8.19,9,36,1,253,10,5,True
2022-09-10,4260705920119,1,7.99,-2,7.99,9,36,1,253,10,5,True
2022-09-10,4260705920096,1,5.59,-1,5.59,9,36,1,253,10,5,True
2022-09-10,4260705920102,1,6.79,-2,6.79,9,36,1,253,10,5,True
2022-09-10,4260705920058,1,3.59,-1,3.59,9,36,1,253,10,5,True
2022-09-10,4260705920294,1,15.99,-3,15.99,9,36,1,253,10,5,True
2022-09-12,4260705920119,1,7.99,2,7.99,9,37,1,255,12,0,False
2022-09-12,4260705920027,1,3.59,2,3.59,9,37,1,255,12,0,False
2022-09-12,4260705920317,1,9.99,2,9.99,9,37,1,255,12,0,False
2022-09-12,4260705920140,1,8.19,2,8.19,9,37,1,255,12,0,False
2022-09-12,4260705920157,1,7.49,4,7.49,9,37,1,255,12,0,False
2022-09-12,4260705920225,1,3.29,1,3.29,9,37,1,255,12,0,False
