Date,StoreID,ProductID,Quantity,Price,Quantity_perWeek,Price_Total_perOrder
20220808,4051653300272,4260705920010,"1,000","4,29","-49,000","4,29"
20220808,4051653300272,4260705920027,"1,000","3,59","-39,000","3,59"
20220808,4051653300272,4260705920034,"2,000","3,39","-47,000","6,78"
20220808,4051653300272,4260705920058,"1,000","3,59","-40,000","3,59"
20220808,4051653300272,4260705920072,"2,000","5,79","-82,000","11,58"
20220808,4051653300272,4260705920089,"1,000","5,39","-22,000","5,39"
20220808,4051653300272,4260705920096,"2,000","5,59","-49,000","11,18"
20220808,4051653300272,4260705920102,"2,000","6,79","-61,000","13,58"
20220808,4051653300272,4260705920119,"1,000","7,99","-53,000","7,99"
20220808,4051653300272,4260705920140,"1,000","8,19","-33,000","8,19"
20220808,4051653300272,4260705920249,"3,000","4,29","-105,000","12,87"
20220808,4051653300272,4260705920294,"1,000","15,99","-156,000","15,99"
20220808,4051653300272,4260705920317,"1,000","9,99","-64,000","9,99"
20220808,4051653300272,4260705920324,"2,000","10,99","-102,000","21,98"
20220808,4051653300272,4260705920331,"1,000","8,69","-24,000","8,69"
20220808,4051653300272,4260705920362,"2,000","2,99","-13,000","5,98"
20220808,4051653300272,4260705920416,"2,000","5,99","-87,000","11,98"
20220809,4051653300272,4260705920010,"1,000","4,29","-45,000","4,29"
20220809,4051653300272,4260705920027,"1,000","3,59","-35,000","3,59"
20220809,4051653300272,4260705920034,"2,000","3,39","-43,000","6,78"
20220809,4051653300272,4260705920058,"1,000","3,59","-39,000","3,59"
20220809,4051653300272,4260705920072,"2,000","5,79","-73,000","11,58"
20220809,4051653300272,4260705920089,"1,000","5,39","-21,000","5,39"
20220809,4051653300272,4260705920096,"2,000","5,59","-41,000","11,18"
20220809,4051653300272,4260705920102,"2,000","6,79","-56,000","13,58"
20220809,4051653300272,4260705920119,"1,000","7,99","-47,000","7,99"
20220809,4051653300272,4260705920140,"1,000","8,19","-28,000","8,19"
20220809,4051653300272,4260705920157,"2,000","7,49","-57,000","14,98"
20220809,4051653300272,4260705920164,"2,000","7,49","-55,000","14,98"
20220809,4051653300272,4260705920225,"1,000","3,29","-13,000","3,29"
20220809,4051653300272,4260705920249,"2,000","4,29","-93,000","8,58"
20220809,4051653300272,4260705920294,"4,000","15,99","-139,000","63,96"
20220809,4051653300272,4260705920300,"2,000","15,49","-51,000","30,98"
20220809,4051653300272,4260705920317,"2,000","9,99","-56,000","19,98"
20220809,4051653300272,4260705920324,"2,000","10,99","-88,000","21,98"
20220809,4051653300272,4260705920331,"1,000","8,69","-20,000","8,69"
20220809,4051653300272,4260705920416,"2,000","5,99","-81,000","11,98"
20220809,4051653300272,4260705920423,"2,000","4,99","-35,000","9,98"
20220810,4051653300272,4260705920003,"1,000","3,39","-23,000","3,39"
20220810,4051653300272,4260705920010,"1,000","4,29","-46,000","4,29"
20220810,4051653300272,4260705920027,"1,000","3,59","-36,000","3,59"
20220810,4051653300272,4260705920034,"1,000","3,39","-44,000","3,39"
20220810,4051653300272,4260705920058,"1,000","3,59","-40,000","3,59"
20220810,4051653300272,4260705920072,"2,000","5,79","-75,000","11,58"
20220810,4051653300272,4260705920089,"1,000","5,39","-22,000","5,39"
20220810,4051653300272,4260705920096,"1,000","5,59","-42,000","5,59"
20220810,4051653300272,4260705920102,"1,000","6,79","-57,000","6,79"
20220810,4051653300272,4260705920119,"1,000","7,99","-48,000","7,99"
20220810,4051653300272,4260705920140,"1,000","8,19","-29,000","8,19"
20220810,4051653300272,4260705920164,"1,000","7,49","-56,000","7,49"
20220810,4051653300272,4260705920195,"1,000","4,99","-6,000","4,99"
20220810,4051653300272,4260705920249,"2,000","4,29","-95,000","8,58"
20220810,4051653300272,4260705920294,"4,000","15,99","-143,000","63,96"
20220810,4051653300272,4260705920300,"2,000","15,49","-53,000","30,98"
20220810,4051653300272,4260705920317,"1,000","9,99","-57,000","9,99"
20220810,4051653300272,4260705920324,"2,000","10,99","-90,000","21,98"
20220810,4051653300272,4260705920331,"1,000","8,69","-21,000","8,69"
20220810,4051653300272,4260705920393,"1,000","2,99","-7,000","2,99"
20220810,4051653300272,4260705920416,"2,000","5,99","-83,000","11,98"
20220810,4051653300272,4260705920423,"1,000","4,99","-36,000","4,99"
20220811,4051653300272,4260705920003,"1,000","3,39","-24,000","3,39"
20220811,4051653300272,4260705920010,"1,000","4,29","-47,000","4,29"
20220811,4051653300272,4260705920027,"1,000","3,59","-37,000","3,59"
20220811,4051653300272,4260705920034,"2,000","3,39","-46,000","6,78"
20220811,4051653300272,4260705920058,"1,000","3,59","-41,000","3,59"
20220811,4051653300272,4260705920072,"2,000","5,79","-77,000","11,58"
20220811,4051653300272,4260705920096,"2,000","5,59","-44,000","11,18"
20220811,4051653300272,4260705920102,"1,000","6,79","-58,000","6,79"
20220811,4051653300272,4260705920119,"1,000","7,99","-49,000","7,99"
20220811,4051653300272,4260705920140,"1,000","8,19","-30,000","8,19"
20220811,4051653300272,4260705920157,"1,000","7,49","-58,000","7,49"
20220811,4051653300272,4260705920249,"1,000","4,29","-96,000","4,29"
20220811,4051653300272,4260705920294,"3,000","15,99","-146,000","47,97"
20220811,4051653300272,4260705920317,"2,000","9,99","-59,000","19,98"
20220811,4051653300272,4260705920324,"2,000","10,99","-92,000","21,98"
20220811,4051653300272,4260705920331,"1,000","8,69","-22,000","8,69"
20220811,4051653300272,4260705920393,"1,000","2,99","-8,000","2,99"
20220811,4051653300272,4260705920416,"2,000","5,99","-85,000","11,98"
20220811,4051653300272,4260705920423,"1,000","4,99","-37,000","4,99"
20220812,4051653300272,4260705920003,"1,000","3,39","-25,000","3,39"
20220812,4051653300272,4260705920010,"1,000","4,29","-48,000","4,29"
20220812,4051653300272,4260705920034,"2,000","3,39","-48,000","6,78"
20220812,4051653300272,4260705920072,"2,000","5,79","-79,000","11,58"
20220812,4051653300272,4260705920096,"2,000","5,59","-46,000","11,18"
20220812,4051653300272,4260705920102,"2,000","6,79","-60,000","13,58"
20220812,4051653300272,4260705920119,"1,000","7,99","-50,000","7,99"
20220812,4051653300272,4260705920140,"1,000","8,19","-31,000","8,19"
20220812,4051653300272,4260705920157,"2,000","7,49","-60,000","14,98"
20220812,4051653300272,4260705920164,"2,000","7,49","-58,000","14,98"
20220812,4051653300272,4260705920249,"3,000","4,29","-99,000","12,87"
20220812,4051653300272,4260705920294,"5,000","15,99","-151,000","79,95"
20220812,4051653300272,4260705920300,"2,000","15,49","-55,000","30,98"
20220812,4051653300272,4260705920317,"2,000","9,99","-61,000","19,98"
20220812,4051653300272,4260705920324,"3,000","10,99","-95,000","32,97"
20220812,4051653300272,4260705920331,"1,000","8,69","-23,000","8,69"
20220812,4051653300272,4260705920416,"2,000","5,99","-87,000","11,98"
20220813,4051653300272,4260705920003,"1,000","3,39","-26,000","3,39"
20220813,4051653300272,4260705920034,"1,000","3,39","-49,000","3,39"
20220813,4051653300272,4260705920041,"1,000","4,39","-1,000","4,39"
20220813,4051653300272,4260705920072,"2,000","5,79","-81,000","11,58"
20220813,4051653300272,4260705920089,"1,000","5,39","-23,000","5,39"
20220813,4051653300272,4260705920096,"1,000","5,59","-47,000","5,59"
20220813,4051653300272,4260705920102,"2,000","6,79","-62,000","13,58"
