,MSE_Training,MSE_Validation,MSE_Test,MAE_Training,MAE_Validation,MAE_Test
Baseline,1.96346914768219,1.1539766788482666,1.1911498308181763,1.0579196214675903,0.8429019451141357,0.8942726850509644
Linear,0.6118018627166748,1.3840887546539307,2.565772771835327,0.6334978938102722,0.8912830948829651,1.3052562475204468
Dense,0.4109828770160675,0.7966159582138062,1.2219867706298828,0.5124346017837524,0.7194070219993591,0.9111469388008118
Multi step dense,0.2538617253303528,1.044963002204895,2.412604570388794,0.3607916533946991,0.8508080840110779,1.3379502296447754
Conv,0.4253554046154022,1.0571320056915283,1.5242774486541748,0.5186600089073181,0.9053908586502075,1.0177977085113525
LSTM,0.6557121872901917,1.241758108139038,1.7415958642959595,0.6734103560447693,0.8497996926307678,1.0776450634002686
