,MSE_Training,MSE_Validation,MSE_Test,MAE_Training,MAE_Validation,MAE_Test
Baseline,1.96346914768219,1.1539766788482666,1.1911498308181763,1.0579196214675903,0.8429020047187805,0.8942726850509644
Linear,0.5616919994354248,2.172133445739746,3.465238571166992,0.600318193435669,1.13254976272583,1.6035422086715698
Dense,0.00010238684626528993,1.5671452283859253,2.7489616870880127,0.005406863056123257,1.0173486471176147,1.2233473062515259
Multi step dense,0.0002882553671952337,2.429873466491699,2.2390527725219727,0.007098325993865728,1.193518042564392,1.1507970094680786
Conv,7.2319166974921245e-06,2.655301570892334,4.4924092292785645,0.0016217771917581558,1.2768754959106445,1.6908360719680786
LSTM,0.0131827462464571,0.9958890080451965,0.9453135132789612,0.047566451132297516,0.8006361722946167,0.8169919848442078
