,MSE_Training,MSE_Validation,MSE_Test,MAE_Training,MAE_Validation,MAE_Test
Baseline,1.9897617101669312,1.133762240409851,1.1107027530670166,1.0667024850845337,0.8629388213157654,0.8459042310714722
Linear,0.37201911211013794,3.0042335987091064,6.750272750854492,0.4649788737297058,1.3450207710266113,2.0431058406829834
Dense,0.943626344203949,0.6787168979644775,0.7548136711120605,0.8144018650054932,0.6400654911994934,0.7190162539482117
Multi step dense,0.9601518511772156,0.7021700739860535,0.7705449461936951,0.8233642578125,0.6845276951789856,0.7534297108650208
Conv,0.0004841386107727885,1.9621182680130005,3.5777482986450195,0.005209753289818764,1.151865005493164,1.5719255208969116
LSTM,0.00264183827675879,0.6532542705535889,1.063950538635254,0.03328228369355202,0.6890155673027039,0.8817514181137085
