,MSE_Training,MSE_Validation,MSE_Test,MAE_Training,MAE_Validation,MAE_Test
Baseline,1.989761471748352,1.133762240409851,1.1107027530670166,1.0667023658752441,0.8629388213157654,0.8459042310714722
Linear,0.36744412779808044,1.6349523067474365,3.9331254959106445,0.46755728125572205,1.0023399591445923,1.7080717086791992
Dense,1.6807503300242388e-07,1.8707969188690186,2.4288887977600098,0.000248851312790066,1.0645004510879517,1.144601583480835
Multi step dense,1.9965953470091335e-05,1.4779788255691528,1.7329037189483643,0.0022421039175242186,0.9652295708656311,1.102265477180481
Conv,0.0002754007000476122,2.537236213684082,2.0203866958618164,0.0065409475937485695,1.270142912864685,1.2103825807571411
LSTM,0.0020392227452248335,0.8145220875740051,0.7649914026260376,0.028517333790659904,0.7393799424171448,0.7225783467292786
